Index,Time,voltage,velocity
26900,53.801296,16883,2.25231528
26901,53.803278,15687,2.63156104
26902,53.805269,-16469,2.98737001
26903,53.807271,16142,3.22706199
26904,53.809273,-2805,3.27180433
26905,53.811274,-10693,3.20575595
26906,53.813296,-15094,3.16527486
26907,53.815275,13196,3.09603047
26908,53.817277,-15898,3.05341864
26909,53.819279,7363,3.04063487
26910,53.821269,-13155,3.04489613
26911,53.823299,17189,3.10135674
26912,53.825278,-3277,3.17379713
26913,53.827269,9149,3.20256019
26914,53.829271,-17993,3.24517202
26915,53.831273,-3023,3.2078867
26916,53.833278,-7454,3.07365918
26917,53.835298,2327,2.84248972
26918,53.837289,-15356,2.60173249
26919,53.839269,-16061,2.42382813
26920,53.841271,8869,2.26936007
26921,53.843274,16551,2.0594964
26922,53.845276,11367,1.87626541
26923,53.847296,10797,1.63124716
26924,53.849275,2026,1.34468222
26925,53.851277,15385,1.04000735
26926,53.853269,-16336,0.833339691
26927,53.855272,-739,0.790727794
26928,53.857273,4604,0.857841551
26929,53.859295,5018,0.960110068
26930,53.861275,-10319,1.09646809
26931,53.863278,-4387,1.18062663
26932,53.865269,14841,1.20725894
26933,53.867271,-17268,1.15718997
26934,53.869290,-8339,1.12523115
26935,53.871270,1004,1.10499036
26936,53.873274,-13345,1.10818636
26937,53.875276,7509,1.20725894
26938,53.877278,13433,1.38409817
26939,53.879268,15475,1.54282749
26940,53.881289,11265,1.67172837
26941,53.883270,3860,1.73990738
26942,53.885272,9978,1.74949503
26943,53.887274,6357,1.70581794
26944,53.889276,-5395,1.65787959
26945,53.891278,6385,1.63657355
26946,53.893288,7480,1.74416864
26947,53.895268,14039,1.86667776
26948,53.897309,-10855,1.98918688
26949,53.899277,-8320,2.11702251
26950,53.901278,-11063,2.22248697
26951,53.903271,12532,2.30664539
26952,53.905292,-14322,2.3364737
26953,53.907272,-6937,2.37269378
26954,53.909273,-5238,2.43661165
26955,53.911275,5626,2.47283149
26956,53.913268,11624,2.43128514
26957,53.915292,-1453,2.37056327
26958,53.917271,-10786,2.30558014
26959,53.919273,-16296,2.27042532
26960,53.921275,16846,2.24805427
26961,53.923279,-12423,2.24485803
26962,53.925269,15184,2.31516767
26963,53.927300,-6971,2.35884476
26964,53.929268,-17347,2.39719582
26965,53.931270,-14735,2.39613032
26966,53.933274,15916,2.31729841
26967,53.935276,9554,2.17987514
26968,53.937277,-16389,1.93059552
26969,53.939292,10491,1.60141885
26970,53.941271,3209,1.2605238
26971,53.943275,-12598,0.960110068
26972,53.945278,-13545,0.764095426
26973,53.947269,-138,0.696981668
26974,53.949292,-12725,0.721483529
26975,53.951295,-9025,0.806707323
26976,53.953276,6168,0.868494511
26977,53.955278,-10963,0.875951588
26978,53.957268,5051,0.890865743
26979,53.959270,15087,0.81416434
26980,53.961293,14117,0.656500459
26981,53.963274,-2673,0.421069801
26982,53.965276,2829,0.202683911
26983,53.967278,-15276,0.0173222609
26984,53.969268,-13872,-0.0924033225
26985,53.971303,-17527,-0.107317485
26986,53.973299,-16608,-0.0178325381
26987,53.975278,4563,0.0897624493
26988,53.977269,13711,0.192030951
26989,53.979271,-9243,0.250622272
26990,53.981273,7213,0.311344206
26991,53.983296,-10289,0.339041948
26992,53.985275,13162,0.275124103
26993,53.987277,-10482,0.187769771
26994,53.989279,-11300,0.125982553
26995,53.991269,-1428,0.00453869766
26996,53.993273,-16700,-0.127558127
26997,53.995310,-13274,-0.231957212
26998,53.997290,-702,-0.299070925
26999,53.999269,-2634,-0.356596977
27000,54.001271,-10423,-0.42264539
27001,54.003276,-6734,-0.48230201
27002,54.005370,-13666,-0.54728514
27003,54.007395,-8851,-0.664467812
27004,54.009272,-16905,-0.773128033
27005,54.011274,5150,-0.911616683
27006,54.013278,-451,-1.09591305
27007,54.015268,3153,-1.27488291
